seqno,xdegs,ydegs,zdegs,xg,yg,zg,movement
465,0.05,0.04,0.03,0.01,0.01,1.03,Still
466,0.05,0.04,0.04,0.01,0.01,1.03,Still
467,0.05,0.04,0.04,0.01,0.01,1.03,Still
468,0.05,0.04,0.03,0.01,0.01,1.03,Still
469,0.06,0.04,0.04,0.01,0.01,1.03,Still
470,0.05,0.04,0.04,0.01,0.01,1.03,Still
471,0.06,0.05,0.04,0.01,0.01,1.03,Still
472,0.06,0.04,0.04,0.01,0.01,1.04,Still
473,0.05,0.04,0.03,0.01,0.01,1.03,Still
474,0.05,0.04,0.04,0.01,0.01,1.03,Still
475,0.04,0.05,0.04,0.01,0.01,1.03,Still
476,0.06,0.05,0.03,0.01,0.01,1.03,Still
