seqno,xdegs,ydegs,zdegs,xg,yg,zg,movement
319,0.02,0.06,-0.83,0.09,-0.06,0.97,sideways
320,0.06,0.07,-0.11,-0,0.01,0.97,sideways
321,0.07,-0.01,0.41,-0.09,-0.04,1.03,sideways
322,0.02,0.06,-0.35,-0.12,0,0.99,sideways
323,0.03,0.02,0.05,-0.18,0.02,1.02,sideways
324,0.05,0.04,0.22,-0.14,-0.01,1.02,sideways
325,0.06,0.05,0.02,-0.03,-0.01,1.02,sideways
326,0.06,0.05,0.04,-0,-0,1.03,sideways
327,0.05,0.04,0.04,0,0,1.03,sideways
328,0.05,0.04,0.03,0.01,-0,1.03,sideways
329,0.06,0.05,0.03,0.01,-0,1.03,sideways
330,0.05,0.04,0.05,0.01,-0,1.03,sideways
331,0.06,0.04,0.03,0.01,-0,1.03,sideways
332,0.06,0.04,0.04,0.01,-0,1.03,sideways
333,0.06,0.05,0.19,0.01,0.01,1.02,sideways
334,0.05,0.04,0.05,-0.07,0,1.03,sideways
335,0.04,0.05,-0.09,-0.1,0.01,1.02,sideways
336,0.05,0.07,0.36,-0.15,-0.01,1.03,sideways
337,0.05,0.05,0.2,-0.18,0.05,1.01,sideways
338,0.01,0.09,-0,-0.16,0.04,1.08,sideways
339,0.09,-0,0.72,-0.04,-0.01,1.14,sideways
340,0.08,0.08,0.46,0.01,-0,1.04,sideways
341,0.04,0.05,0.23,0.08,-0.04,1,sideways
342,0.04,0.04,0.62,0.19,-0.05,1.04,sideways
343,0.05,0.02,-0.07,0.13,-0.05,1.04,sideways
344,0.06,0.04,-0.05,0.16,-0.03,1.02,sideways
345,0.06,0.05,0.05,0.06,-0.01,1.03,sideways
346,0.05,0.04,-0.16,0.04,0.01,1.04,sideways
347,0.05,0.04,0.04,0.02,-0,1.03,sideways
348,0.05,0.04,0.04,0.01,-0,1.03,sideways
349,0.06,0.04,0.03,0.01,-0,1.03,sideways
350,0.05,0.04,0.04,0.01,-0,1.03,sideways
351,0.06,0.04,0.03,0.01,-0,1.03,sideways
352,0.06,0.05,0.03,0.01,-0,1.03,sideways
