seqno,xdegs,ydegs,zdegs,xg,yg,zg,movement
1435,0.1,-2.7,0.06,0.95,-0.01,0.3,90degRot
1436,0.05,-2.45,0.03,0.95,-0,0.27,90degRot
1437,0.12,-2.65,0.06,0.94,-0.02,0.22,90degRot
1438,0.34,-3.2,0.07,0.94,-0.03,0.15,90degRot
1439,0.25,-4.53,0.02,0.92,-0.02,0.07,90degRot
1440,0.86,-0.06,0.01,0.92,0.01,0.03,90degRot
1441,0.36,0.03,0.02,0.97,0.02,-0.02,90degRot
1442,0.07,0.1,0.04,0.98,-0.01,-0.01,90degRot
1443,-0.21,0.09,0.02,0.99,-0.01,-0,90degRot
1444,-0.03,0.53,0.05,1.01,-0.02,-0.01,90degRot
1445,0.05,1.29,0.06,1.03,-0.01,-0.03,90degRot
1446,0.07,2.39,0.05,1.01,0,-0.01,90degRot
1447,-0.33,3.42,0.01,1.04,-0.02,0.03,90degRot
1448,-0.38,4.82,-0.05,1.03,-0.04,0.07,90degRot
1449,0.08,6.47,0.05,0.99,-0.03,0.16,90degRot
1450,0.28,7.42,0.09,0.9,-0.01,0.3,90degRot
1451,0.18,7.58,0.06,0.79,-0.03,0.46,90degRot
1452,0.17,7.51,0.08,0.69,-0.01,0.6,90degRot
1453,0.15,6.46,0.07,0.57,-0.01,0.75,90degRot
1454,0.48,5.72,0.63,0.47,-0.01,0.85,90degRot
1455,0.07,4.4,-0.03,0.42,-0.01,0.89,90degRot
1456,0.09,3.96,0.03,0.34,-0,0.94,90degRot
1457,0.05,3.67,-0.08,0.27,-0.02,0.98,90degRot
1458,0.13,2.87,0.24,0.17,0.01,1.01,90degRot
1459,0.15,2.9,0.47,0.12,-0.01,1.03,90degRot
1460,0.09,2.38,0.11,0.12,-0.02,1.02,90degRot
1461,0.06,2.28,-0.09,0.06,-0.01,1.03,90degRot
1462,0.08,2.07,-0.13,0.03,-0.04,1.05,90degRot
1463,0.06,0.01,0,0.02,-0.01,1.04,90degRot
1464,0.05,0.05,0.03,0.01,-0.01,1.03,90degRot
1465,0.07,0.03,0.01,0.01,-0.01,1.03,90degRot
1466,0.22,0,0.24,-0.02,0.02,1.02,90degRot
1467,0.06,-1.69,0.38,-0.03,-0.01,1.08,90degRot
1468,-0.03,-2.39,0.02,0.02,-0,1.06,90degRot
1469,-0.02,-3.55,0.18,0.08,-0,1.05,90degRot
1470,0.06,-4.26,0.23,0.12,-0.01,1.04,90degRot
1471,0.12,-5.22,0.37,0.2,-0.01,1,90degRot
1472,-0.02,-6.69,0.01,0.3,-0.01,0.94,90degRot
1473,-0.01,-6.37,0.03,0.45,-0.01,0.85,90degRot
1474,-0.02,-7.07,0.02,0.55,-0.01,0.76,90degRot
1475,-0.06,-6.77,-0.01,0.68,-0.01,0.64,90degRot
1476,-0.34,-6.67,-0.15,0.79,-0.01,0.5,90degRot
1477,-0.29,-5.48,-0.08,0.9,-0.03,0.37,90degRot
1478,-0.91,-5.02,-0.22,0.94,-0.03,0.26,90degRot
1479,-0.3,-3.42,-0.03,1.03,-0.01,0.18,90degRot
1480,-0.13,-2.02,0.03,1,-0.01,0.13,90degRot
1481,-0.07,-1.69,0.03,0.99,-0.03,0.11,90degRot
1482,0.07,-1.95,0.04,0.95,-0.02,0.07,90degRot
1483,-0.21,-2.67,0.02,0.99,-0.06,0.04,90degRot
1484,0.09,0.03,0.03,0.99,-0.02,0.01,90degRot
1485,0.05,0.06,0.03,0.99,-0.02,0,90degRot
1486,0.05,0.06,0.03,0.99,-0.02,-0,90degRot
1487,0.14,0.69,0.08,1.04,-0.02,-0.05,90degRot
1488,0.58,2.17,0.08,1.05,0.01,-0.03,90degRot
1489,-0.05,3.29,0.04,1.04,-0,-0,90degRot
1490,0.09,4.52,0.03,0.99,-0.04,0.06,90degRot
1491,0.7,4.53,0.18,0.97,-0.03,0.16,90degRot
1492,0.48,5.37,0.14,0.95,0.01,0.25,90degRot
1493,0.48,5.81,0.23,0.88,0.01,0.37,90degRot
1494,0.43,5.7,0.23,0.83,-0.02,0.48,90degRot
1495,0.22,6.02,0.12,0.76,-0.01,0.58,90degRot
1496,0.18,6.34,0.1,0.66,-0.01,0.68,90degRot
1497,0.07,5.53,-0.02,0.57,-0.03,0.77,90degRot
1498,0.12,5.55,0.05,0.49,-0.02,0.84,90degRot
1499,0.11,4.77,0.05,0.37,-0.01,0.93,90degRot
1500,0.09,4.07,0.04,0.3,-0.01,0.97,90degRot
1501,0.05,4.54,-0.21,0.25,-0.01,0.95,90degRot
1502,0.07,4.47,-0.15,0.13,-0.01,1.01,90degRot
1503,0.12,3.62,0.03,0.06,0,1.04,90degRot
1504,0.07,0.04,0.04,0.02,0.02,1.04,90degRot
1505,0.11,-0.03,-0.06,0.03,-0.02,1.04,90degRot
1506,0.06,0.05,0.03,0.02,-0,1.03,90degRot
1507,0.13,0.02,0.22,-0.01,0.01,1.04,90degRot
1508,0.27,-0.22,0.5,-0.03,-0.01,1.07,90degRot
1509,0.06,-1.61,0.31,-0.03,-0.01,1.08,90degRot
1510,-0.1,-3.01,0.25,0.02,0,1.05,90degRot
1511,-0.08,-3.29,0.16,0.09,-0,1.03,90degRot
1512,0.03,-3.79,0.32,0.13,-0.03,1.03,90degRot
1513,-0,-3.65,-0.04,0.24,-0.02,0.97,90degRot
1514,-0.15,-3.1,-0.38,0.29,0,0.94,90degRot
1515,0.05,-3.08,0.08,0.37,0.01,0.88,90degRot
1516,0.44,-3.52,0.71,0.45,-0.02,0.91,90degRot
1517,0.06,-4.23,0.1,0.49,-0,0.9,90degRot
1518,0.05,-6.91,0.09,0.57,0.04,0.79,90degRot
1519,-0.16,-9.42,-0.05,0.62,-0.01,0.6,90degRot
1520,-1.4,-9.42,-0.55,0.75,-0.02,0.33,90degRot
1521,-1.01,-7.46,-0.2,0.94,0.02,0.21,90degRot
1522,-0.23,-4.24,0.01,1.07,-0.02,0.09,90degRot
1523,0.13,-1.69,0.05,1.05,0,0.04,90degRot
1524,0.04,-0.84,0.02,1.03,-0.01,0.01,90degRot
1525,-0.35,-1.25,0.04,0.95,-0,0.01,90degRot
1526,0.04,0.05,0.02,0.99,-0.02,-0.02,90degRot
1527,0.05,0.04,0.04,0.98,-0.02,-0.01,90degRot
1528,0.05,0.06,0.03,0.99,-0.02,-0.01,90degRot
1529,0.07,0.1,0.03,0.99,-0.02,-0,90degRot
1530,0.51,1.17,0.03,1.03,-0.01,-0.04,90degRot
1531,0.64,3.06,0.02,1.07,0.02,-0.02,90degRot
1532,-0.28,4.07,0.01,1.04,0,0.02,90degRot
1533,-0.38,5.21,-0.07,0.98,-0.03,0.09,90degRot
1534,-0.1,5.18,-0.03,0.95,-0.03,0.22,90degRot
1535,0.3,5.62,0.12,0.91,-0.01,0.33,90degRot
1536,0.28,5.77,0.13,0.85,-0.03,0.44,90degRot
1537,0.04,5.33,-0,0.76,-0.02,0.57,90degRot
1538,0.1,5.69,0.04,0.71,-0.02,0.64,90degRot
1539,0.11,4.96,0.06,0.58,-0.01,0.79,90degRot
1540,0.03,4.21,-0.05,0.54,-0.01,0.83,90degRot
1541,0.07,4.03,-0.02,0.45,-0.01,0.91,90degRot
