seqno,xdegs,ydegs,zdegs,xg,yg,zg,movement
414,0.04,0.09,0.07,-0.03,0.15,1.02,UpDown
415,-0.01,-0.02,0.08,-0.04,0.15,1,UpDown
416,-0.07,0.01,0.05,-0.03,0.14,1,UpDown
417,-0.09,0.1,0.02,-0.03,0.14,1,UpDown
418,-0.03,0.03,-0.04,-0.04,0.14,1.01,UpDown
419,0.03,0.19,0,-0.04,0.14,1,UpDown
420,-0.04,0.02,0.03,-0.04,0.14,0.97,UpDown
421,0,0.04,-0.01,-0.02,0.14,0.91,UpDown
422,0.01,0.14,-0.15,-0.02,0.14,0.84,UpDown
423,-0.33,0.19,-0.31,-0.01,0.13,0.9,UpDown
424,-0.12,0.38,-0.37,-0.03,0.1,0.91,UpDown
425,-0.89,0.53,-0.49,-0.04,0.11,0.98,UpDown
426,-0.24,-0.29,-0.21,-0.08,0.07,1.06,UpDown
427,-0.49,0.54,-0.55,-0.04,0.09,1.07,UpDown
428,0.03,-0.01,-0.46,-0.1,0.07,1.14,UpDown
429,-0.51,0.23,-0.24,-0.12,0.08,1.07,UpDown
430,-0.04,-0.37,-0.12,-0.12,0.04,1.24,UpDown
431,0.01,0.06,0.09,-0.12,0.07,1.21,UpDown
432,0.18,-0.17,0.13,-0.09,0.1,1.15,UpDown
433,0.32,-0.12,0.31,-0.09,0.09,1.09,UpDown
434,-0.13,0.01,0.19,-0.07,0.11,1.01,UpDown
435,-0.03,0,0.14,-0.05,0.08,1.02,UpDown
436,-0.08,0.08,0.03,-0.05,0.07,1.05,UpDown
437,0.14,0.03,0.06,-0.04,0.07,1.01,UpDown
438,-0.03,-0.01,0.01,-0.06,0.06,1.02,UpDown
